match_id,date,competition,home_team,away_team,home_score,away_score,
MD1_YAN_DEA,29/11/2025,BPCL,Yankee FC,Deadly FC,0,0,
MD1_MEN_CRI,29/11/2025,BPCL,Men Dem,Crimson Phalanx,1,6,
MD1_TOX_KAG,29/11/2025,BPCL,Toxic Apex,Kagaway,0,3,
MD1_SCH_FCP,29/11/2025,BPCL,School Two,FC Pentakill,1,1,
MD1_FCH_NAM,29/11/2025,BPCL,FCHavoc,Nameless EU,1,5,
MD1_YAN_CRI,29/11/2025,BPCL,Yankee FC,Crimson Phalanx,6,0,
MD1_DEA_KAG,29/11/2025,BPCL,Deadly FC,Kagaway,1,2,
MD1_MEN_FCP,29/11/2025,BPCL,Men Dem,FC Pentakill,2,4,
MD1_TOX_NAM,29/11/2025,BPCL,Toxic Apex,Nameless EU,0,2,
MD1_SCH_FCH,29/11/2025,BPCL,School Two,FCHavoc,3,0,
MD2_YAN_KAG,06/12/2025,BPCL,Yankee FC,Kagaway,0,0,
MD2_CRI_FCP,06/12/2025,BPCL,Crimson Phalanx,FC Pentakill,4,0,
MD2_DEA_NAM,06/12/2025,BPCL,Deadly FC,Nameless EU,1,3,
MD2_MEN_FCH,06/12/2025,BPCL,Men Dem,FCHavoc,0,1,
MD2_TOX_SCH,06/12/2025,BPCL,Toxic Apex,School Two,2,1,
MD2_YAN_FCP,06/12/2025,BPCL,Yankee FC,FC Pentakill,3,1,
MD2_KAG_NAM,06/12/2025,BPCL,Kagaway,Nameless EU,2,1,
MD2_CRI_FCH,06/12/2025,BPCL,Crimson Phalanx,FCHavoc,1,2,
MD2_DEA_SCH,06/12/2025,BPCL,Deadly FC,School Two,1,3,
MD2_MEN_TOX,06/12/2025,BPCL,Men Dem,Toxic Apex,2,2,
MD3_YAN_NAM,13/12/2025,BPCL,Yankee FC,Nameless EU,0,2,
MD3_FCP_FCH,13/12/2025,BPCL,FC Pentakill,FCHavoc,1,1,
MD3_KAG_SCH,13/12/2025,BPCL,Kagaway,School Two,1,0,
MD3_CRI_TOX,13/12/2025,BPCL,Crimson Phalanx,Toxic Apex,0,2,
MD3_DEA_MEN,13/12/2025,BPCL,Deadly FC,Men Dem,2,0,
MD3_YAN_FCH,13/12/2025,BPCL,Yankee FC,FCHavoc,3,1,
MD3_NAM_SCH,13/12/2025,BPCL,Nameless EU,School Two,4,0,
MD3_FCP_TOX,13/12/2025,BPCL,FC Pentakill,Toxic Apex,4,2,
MD3_KAG_MEN,13/12/2025,BPCL,Kagaway,Men Dem,8,0,
MD3_CRI_DEA,13/12/2025,BPCL,Crimson Phalanx,Deadly FC,4,4,
MD4_YAN_SCH,20/12/2025,BPCL,Yankee FC,School Two,1,2,
MD4_FCH_TOX,20/12/2025,BPCL,FCHavoc,Toxic Apex,0,2,
MD4_NAM_MEN,20/12/2025,BPCL,Nameless EU,Men Dem,3,2,
MD4_FCP_DEA,20/12/2025,BPCL,FC Pentakill,Deadly FC,0,0,
MD4_KAG_CRI,20/12/2025,BPCL,Kagaway,Crimson Phalanx,3,0,
MD4_YAN_TOX,20/12/2025,BPCL,Yankee FC,Toxic Apex,0,1,
MD4_SCH_MEN,20/12/2025,BPCL,School Two,Men Dem,3,1,
MD4_FCH_DEA,20/12/2025,BPCL,FCHavoc,Deadly FC,0,3,
MD4_NAM_CRI,20/12/2025,BPCL,Nameless EU,Crimson Phalanx,2,1,
MD4_FCP_KAG,20/12/2025,BPCL,FC Pentakill,Kagaway,2,3,
MD5_YAN_MEN,10/01/2026,BPCL,Yankee FC,Men Dem,3,1,
MD5_TOX_DEA,10/01/2026,BPCL,Toxic Apex,Deadly FC,1,1,
MD5_SCH_CRI,10/01/2026,BPCL,School Two,Crimson Phalanx,2,1,
MD5_FCH_KAG,10/01/2026,BPCL,FCHavoc,Kagaway,1,2,
MD5_NAM_FCP,10/01/2026,BPCL,Nameless EU,FC Pentakill,7,0,
MD5_DEA_YAN,10/01/2026,BPCL,Deadly FC,Yankee FC,1,2,
MD5_CRI_MEN,10/01/2026,BPCL,Crimson Phalanx,Men Dem,1,2,
MD5_KAG_TOX,10/01/2026,BPCL,Kagaway,Toxic Apex,4,2,
MD5_FCP_SCH,10/01/2026,BPCL,FC Pentakill,School Two,3,2,
MD5_NAM_FCH,10/01/2026,BPCL,Nameless EU,FCHavoc,1,0,
MD6_CRI_YAN,17/01/2026,BPCL,Crimson Phalanx,Yankee FC,2,0,
MD6_KAG_DEA,17/01/2026,BPCL,Kagaway,Deadly FC,1,0,
MD6_FCP_MEN,17/01/2026,BPCL,FC Pentakill,Men Dem,0,1,
MD6_NAM_TOX,17/01/2026,BPCL,Nameless EU,Toxic Apex,1,0,
MD6_FCH_SCH,17/01/2026,BPCL,FCHavoc,School Two,2,1,
MD6_KAG_YAN,17/01/2026,BPCL,Kagaway,Yankee FC,3,1,
MD6_FCP_CRI,17/01/2026,BPCL,FC Pentakill,Crimson Phalanx,2,2,
MD6_NAM_DEA,17/01/2026,BPCL,Nameless EU,Deadly FC,6,0,
MD6_FCH_MEN,17/01/2026,BPCL,FCHavoc,Men Dem,1,1,
MD6_SCH_TOX,17/01/2026,BPCL,School Two,Toxic Apex,4,0,
